Best hyperparameters: {'node1': 13, 'node2': 4, 'LR': 1.6399771164889416e-05, 'DROPOUT': 0.19616048495645938, 'batch_size': 64, 'weight_decay': 0.00098542294016685, 'EARLY_STOP': 39}
Best trial value: 6.949471473693848

All trials:
Trial 0: {'node1': 38, 'node2': 9, 'LR': 2.1678847594691602e-05, 'DROPOUT': 0.49837817920629884, 'batch_size': 64, 'weight_decay': 2.595847604865971e-05, 'EARLY_STOP': 42}, Value: 7.126316070556641
Trial 1: {'node1': 26, 'node2': 5, 'LR': 2.7666357619212064e-05, 'DROPOUT': 0.4856053610075666, 'batch_size': 58, 'weight_decay': 2.6650603945359334e-05, 'EARLY_STOP': 89}, Value: 8.491912603378296
Trial 2: {'node1': 17, 'node2': 6, 'LR': 1.9892722625716205e-05, 'DROPOUT': 0.07847303520770477, 'batch_size': 50, 'weight_decay': 2.36776583239441e-05, 'EARLY_STOP': 144}, Value: 8.575543522834778
Trial 3: {'node1': 39, 'node2': 5, 'LR': 6.075349903873524e-06, 'DROPOUT': 0.46577103866334796, 'batch_size': 40, 'weight_decay': 3.420942541191084e-05, 'EARLY_STOP': 196}, Value: 8.43369917869568
Trial 4: {'node1': 11, 'node2': 5, 'LR': 7.1130545821089245e-06, 'DROPOUT': 0.17176850716637831, 'batch_size': 31, 'weight_decay': 2.0846646633862294e-05, 'EARLY_STOP': 86}, Value: 8.580038275037493
Trial 5: {'node1': 8, 'node2': 9, 'LR': 6.188846345673308e-06, 'DROPOUT': 0.3477325417268622, 'batch_size': 61, 'weight_decay': 1.4161390901555668e-05, 'EARLY_STOP': 56}, Value: 9.223704934120178
Trial 6: {'node1': 35, 'node2': 5, 'LR': 1.808215637776986e-05, 'DROPOUT': 0.023970558947983556, 'batch_size': 19, 'weight_decay': 0.0001803124359931845, 'EARLY_STOP': 123}, Value: 8.778769774870439
Trial 7: {'node1': 16, 'node2': 9, 'LR': 6.888774353784756e-06, 'DROPOUT': 0.2067200343922962, 'batch_size': 37, 'weight_decay': 8.763451757358754e-05, 'EARLY_STOP': 20}, Value: 8.700427770614624
Trial 8: {'node1': 28, 'node2': 10, 'LR': 3.7188595953401745e-06, 'DROPOUT': 0.08706504836713524, 'batch_size': 45, 'weight_decay': 6.2103244161077e-05, 'EARLY_STOP': 161}, Value: 8.74162130355835
Trial 9: {'node1': 23, 'node2': 3, 'LR': 5.9155797357571285e-06, 'DROPOUT': 0.4564096814899852, 'batch_size': 55, 'weight_decay': 0.00011288112959551918, 'EARLY_STOP': 38}, Value: 8.97972023487091
Trial 10: {'node1': 35, 'node2': 8, 'LR': 7.695598104132792e-05, 'DROPOUT': 0.33389863075231485, 'batch_size': 64, 'weight_decay': 0.0009162009060765511, 'EARLY_STOP': 63}, Value: 7.390269905328751
Trial 11: {'node1': 33, 'node2': 8, 'LR': 9.49058331216989e-05, 'DROPOUT': 0.33909080666917435, 'batch_size': 63, 'weight_decay': 0.0009911263991693436, 'EARLY_STOP': 67}, Value: 9.272888541221619
Trial 12: {'node1': 40, 'node2': 8, 'LR': 8.760105495429549e-05, 'DROPOUT': 0.3452923238923786, 'batch_size': 64, 'weight_decay': 0.0008276203970476215, 'EARLY_STOP': 23}, Value: 7.449028551578522
Trial 13: {'node1': 34, 'node2': 7, 'LR': 1.514619354126815e-06, 'DROPOUT': 0.39902963384276463, 'batch_size': 52, 'weight_decay': 0.00035062777334351336, 'EARLY_STOP': 57}, Value: 8.547194004058838
Trial 14: {'node1': 30, 'node2': 10, 'LR': 4.610480916866345e-05, 'DROPOUT': 0.2634138621672052, 'batch_size': 47, 'weight_decay': 0.00031126168716340453, 'EARLY_STOP': 99}, Value: 9.582928991317749
Trial 15: {'node1': 37, 'node2': 8, 'LR': 4.427486341130608e-05, 'DROPOUT': 0.2770978813656058, 'batch_size': 27, 'weight_decay': 4.8073782822681764e-05, 'EARLY_STOP': 69}, Value: 9.409279972314835
Trial 16: {'node1': 23, 'node2': 7, 'LR': 4.896080147021074e-05, 'DROPOUT': 0.4023002116630864, 'batch_size': 56, 'weight_decay': 1.2389145060131924e-05, 'EARLY_STOP': 46}, Value: 9.221736669540405
Trial 17: {'node1': 31, 'node2': 9, 'LR': 1.3211708644269587e-05, 'DROPOUT': 0.4152215939175294, 'batch_size': 42, 'weight_decay': 0.0005217091732389332, 'EARLY_STOP': 116}, Value: 8.679517650604248
Trial 18: {'node1': 37, 'node2': 10, 'LR': 3.131319253401058e-05, 'DROPOUT': 0.3040699810065852, 'batch_size': 59, 'weight_decay': 0.00016571150847164294, 'EARLY_STOP': 79}, Value: 8.76090943813324
Trial 19: {'node1': 31, 'node2': 3, 'LR': 6.414028327535999e-05, 'DROPOUT': 0.21247084876397648, 'batch_size': 52, 'weight_decay': 4.796452382936656e-05, 'EARLY_STOP': 35}, Value: 8.885441184043884
Trial 20: {'node1': 20, 'node2': 7, 'LR': 1.0628837315238918e-06, 'DROPOUT': 0.13993507184034903, 'batch_size': 17, 'weight_decay': 0.0002168260370988256, 'EARLY_STOP': 16}, Value: 8.474697023630142
Trial 21: {'node1': 39, 'node2': 8, 'LR': 9.08177545290371e-05, 'DROPOUT': 0.3549199134053647, 'batch_size': 64, 'weight_decay': 0.0007876538754919219, 'EARLY_STOP': 33}, Value: 7.4174871146678925
Trial 22: {'node1': 40, 'node2': 8, 'LR': 6.534466709279577e-05, 'DROPOUT': 0.4329177122786738, 'batch_size': 63, 'weight_decay': 0.0005199070849316536, 'EARLY_STOP': 44}, Value: 9.542641282081604
