Best hyperparameters: {'node1': 21, 'node2': 7, 'LR': 9.05945733700551e-05, 'DROPOUT': 0.22914679037383173, 'batch_size': 64, 'weight_decay': 0.0004974777308695285, 'EARLY_STOP': 82}
Best trial value: 6.866953492164612

All trials:
Trial 0: {'node1': 16, 'node2': 3, 'LR': 3.305352129952589e-05, 'DROPOUT': 0.14933199031786243, 'batch_size': 40, 'weight_decay': 0.00024907866646491046, 'EARLY_STOP': 161}, Value: 8.620603370666505
Trial 1: {'node1': 36, 'node2': 8, 'LR': 4.438777699027948e-06, 'DROPOUT': 0.0503928181709537, 'batch_size': 59, 'weight_decay': 2.8311365544479516e-05, 'EARLY_STOP': 96}, Value: 8.557652950286865
Trial 2: {'node1': 11, 'node2': 3, 'LR': 1.9517143841170924e-05, 'DROPOUT': 0.4166694862852859, 'batch_size': 32, 'weight_decay': 5.534075138556977e-05, 'EARLY_STOP': 40}, Value: 7.867757081985474
Trial 3: {'node1': 30, 'node2': 6, 'LR': 1.7388410550728244e-05, 'DROPOUT': 0.047946455182414915, 'batch_size': 56, 'weight_decay': 1.1291649551653535e-05, 'EARLY_STOP': 122}, Value: 8.829918026924133
Trial 4: {'node1': 10, 'node2': 6, 'LR': 3.552055800912232e-06, 'DROPOUT': 0.405870278253906, 'batch_size': 18, 'weight_decay': 0.0006344501963537676, 'EARLY_STOP': 165}, Value: 7.979053239027659
Trial 5: {'node1': 10, 'node2': 7, 'LR': 2.088041651309311e-06, 'DROPOUT': 0.4778235152556267, 'batch_size': 47, 'weight_decay': 2.3196242869966434e-05, 'EARLY_STOP': 25}, Value: 9.21693983078003
Trial 6: {'node1': 24, 'node2': 6, 'LR': 2.761221157751735e-06, 'DROPOUT': 0.07719949981147223, 'batch_size': 33, 'weight_decay': 0.00016011128617610774, 'EARLY_STOP': 127}, Value: 7.545883059501648
Trial 7: {'node1': 29, 'node2': 10, 'LR': 2.1372969794009875e-06, 'DROPOUT': 0.3712779693744246, 'batch_size': 60, 'weight_decay': 0.00034468975893966916, 'EARLY_STOP': 101}, Value: 8.64649784564972
Trial 8: {'node1': 25, 'node2': 10, 'LR': 2.0370144608147835e-06, 'DROPOUT': 0.42893293584325143, 'batch_size': 21, 'weight_decay': 0.0005739770748618775, 'EARLY_STOP': 54}, Value: 8.50140688419342
Trial 9: {'node1': 16, 'node2': 7, 'LR': 8.332596042209803e-05, 'DROPOUT': 0.30626775167353554, 'batch_size': 57, 'weight_decay': 0.0003264056139940566, 'EARLY_STOP': 91}, Value: 9.125616312026978
Trial 10: {'node1': 40, 'node2': 5, 'LR': 1.0405035251164304e-06, 'DROPOUT': 0.18508975350452186, 'batch_size': 29, 'weight_decay': 0.00012137377502782766, 'EARLY_STOP': 198}, Value: 8.551226479666573
Trial 11: {'node1': 18, 'node2': 3, 'LR': 8.8096630580508e-06, 'DROPOUT': 0.25699199518203963, 'batch_size': 34, 'weight_decay': 5.8593345440858345e-05, 'EARLY_STOP': 18}, Value: 8.532554546991983
Trial 12: {'node1': 20, 'node2': 4, 'LR': 1.1415248022666253e-05, 'DROPOUT': 0.14695625007653765, 'batch_size': 29, 'weight_decay': 0.00010535390180848507, 'EARLY_STOP': 59}, Value: 8.507986273084368
Trial 13: {'node1': 8, 'node2': 5, 'LR': 2.8869549589328302e-05, 'DROPOUT': 0.003975062492908507, 'batch_size': 42, 'weight_decay': 5.80919264509672e-05, 'EARLY_STOP': 130}, Value: 8.626706790924072
Trial 14: {'node1': 24, 'node2': 8, 'LR': 6.55830023215228e-06, 'DROPOUT': 0.3238642042510993, 'batch_size': 32, 'weight_decay': 0.00016910655834700058, 'EARLY_STOP': 67}, Value: 7.82913259097508
Trial 15: {'node1': 24, 'node2': 8, 'LR': 5.768653307632093e-06, 'DROPOUT': 0.3183633229734135, 'batch_size': 24, 'weight_decay': 0.0001914718228353851, 'EARLY_STOP': 72}, Value: 7.9200071758694115
Trial 16: {'node1': 30, 'node2': 9, 'LR': 1.08978106491954e-06, 'DROPOUT': 0.20554573100475013, 'batch_size': 40, 'weight_decay': 0.00015927563449170796, 'EARLY_STOP': 138}, Value: 8.360884094238282
Trial 17: {'node1': 27, 'node2': 8, 'LR': 7.210889582938723e-06, 'DROPOUT': 0.08756148706186022, 'batch_size': 48, 'weight_decay': 0.000996566451034847, 'EARLY_STOP': 75}, Value: 7.3999120712280275
Trial 18: {'node1': 34, 'node2': 9, 'LR': 3.1463467569712275e-06, 'DROPOUT': 0.09380045431262449, 'batch_size': 50, 'weight_decay': 0.0007818929518995871, 'EARLY_STOP': 149}, Value: 8.429085493087769
Trial 19: {'node1': 28, 'node2': 5, 'LR': 1.1114091535247857e-05, 'DROPOUT': 0.09980245181635561, 'batch_size': 51, 'weight_decay': 0.0009000941908479888, 'EARLY_STOP': 115}, Value: 8.535430192947388
Trial 20: {'node1': 21, 'node2': 7, 'LR': 9.05945733700551e-05, 'DROPOUT': 0.22914679037383173, 'batch_size': 64, 'weight_decay': 0.0004974777308695285, 'EARLY_STOP': 82}, Value: 6.866953492164612
Trial 21: {'node1': 21, 'node2': 7, 'LR': 7.747181102462618e-05, 'DROPOUT': 0.2489456341559234, 'batch_size': 44, 'weight_decay': 0.0004730782010871798, 'EARLY_STOP': 82}, Value: 8.470931720733642
